,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Karrāpur,23.95,78.85,87.49,20,17,9.93,IN,1651352930
1,Severo-Kuril'sk,50.6789,156.125,35.17,79,100,9.53,RU,1651352930
2,Ushuaia,-54.8,-68.3,40.66,75,0,0.0,AR,1651352864
3,New Norfolk,-42.7826,147.0587,56.91,69,100,7.0,AU,1651352931
4,Rikitea,-23.1203,-134.9692,76.03,75,52,10.67,PF,1651352932
5,Arraial do Cabo,-22.9661,-42.0278,75.06,83,75,2.3,BR,1651352933
6,George Town,5.4112,100.3354,82.33,89,20,0.0,MY,1651352594
7,Busselton,-33.65,115.3333,54.88,87,0,5.48,AU,1651352933
8,Mataura,-46.1927,168.8643,63.48,83,100,3.94,NZ,1651352934
9,Port Alfred,-33.5906,26.891,57.18,84,1,4.0,ZA,1651352934
10,Porto-Novo,6.4965,2.6036,80.69,79,64,6.2,BJ,1651352935
11,Tornio,65.8481,24.1466,26.62,86,67,4.14,FI,1651352936
12,Port-Gentil,-0.7193,8.7815,81.81,80,99,13.22,GA,1651352936
13,Mutoko,-17.397,32.2268,58.96,58,0,2.91,ZW,1651352937
14,Ancud,-41.8697,-73.8203,50.85,85,100,6.64,CL,1651352937
15,Ponta Delgada,37.7333,-25.6667,67.5,88,20,6.91,PT,1651352938
16,Yulara,-25.2406,130.9889,59.83,51,100,13.51,AU,1651352938
17,Saint Paul Harbor,57.79,-152.4072,40.51,87,100,27.63,US,1651352939
18,Egvekinot,66.3167,-179.1667,15.64,79,100,11.1,RU,1651352940
19,Bluff,-46.6,168.3333,63.81,64,100,11.83,NZ,1651352940
20,Saldanha,-33.0117,17.9442,58.69,88,8,12.37,ZA,1651352941
21,Talnakh,69.4865,88.3972,18.21,97,100,9.19,RU,1651352941
22,Cidreira,-30.1811,-50.2056,65.91,71,100,11.68,BR,1651352942
23,São Filipe,14.8961,-24.4956,72.07,77,85,9.08,CV,1651352942
24,Clyde River,70.4692,-68.5914,16.03,92,100,4.61,CA,1651352943
25,Santander,43.4647,-3.8044,57.45,91,20,2.3,ES,1651352943
26,Fortuna,40.5982,-124.1573,56.93,84,100,8.05,US,1651352944
27,Longyearbyen,78.2186,15.6401,10.24,67,0,4.61,SJ,1651352944
28,Albany,42.6001,-73.9662,63.41,25,90,1.99,US,1651352945
29,Pangkalanbuun,-2.6833,111.6167,75.27,97,100,1.83,ID,1651352946
30,Chokurdakh,70.6333,147.9167,15.03,93,43,7.85,RU,1651352946
31,Lorengau,-2.0226,147.2712,81.16,77,100,1.61,PG,1651352947
32,Atuona,-9.8,-139.0333,78.8,76,9,12.57,PF,1651352948
33,Kapaa,22.0752,-159.319,80.58,75,20,17.27,US,1651352948
34,Avarua,-21.2078,-159.775,84.25,74,20,9.22,CK,1651352949
35,Barrow,71.2906,-156.7887,21.22,79,0,5.75,US,1651352663
36,Vostok,46.4856,135.8833,35.26,80,100,3.65,RU,1651352949
37,Río Gallegos,-51.6226,-69.2181,46.45,66,0,1.14,AR,1651352950
38,Maiquetia,10.5962,-66.9548,87.94,89,40,5.75,VE,1651352951
39,Ilulissat,69.2167,-51.1,24.82,50,0,16.11,GL,1651352951
40,Alim,9.5649,122.4876,79.38,80,98,6.11,PH,1651352902
41,Derzhavīnsk,51.1,66.3167,59.74,62,100,9.66,KZ,1651352952
42,Bathsheba,13.2167,-59.5167,83.01,74,20,13.8,BB,1651352953
43,Vestmanna,62.1564,-7.1664,41.92,93,45,3.44,FO,1651352953
44,Torbay,47.6666,-52.7314,44.76,96,100,4.61,CA,1651352954
45,Hermanus,-34.4187,19.2345,58.62,86,63,3.53,ZA,1651352955
46,Gönen,40.1049,27.654,58.01,54,100,8.41,TR,1651352955
47,Ostrovnoy,68.0531,39.5131,16.95,86,93,9.73,RU,1651352956
48,Khatanga,71.9667,102.5,1.89,100,93,7.7,RU,1651352957
49,Rongcheng,30.634,117.8517,52.07,97,100,0.36,CN,1651352957
50,Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,48.97,26,4,8.23,CN,1651352723
51,Saint-Philippe,-21.3585,55.7679,76.59,78,9,10.87,RE,1651352958
52,San Cristobal,7.7669,-72.225,77.18,85,99,5.84,VE,1651352959
53,Hobart,-42.8794,147.3294,57.25,64,75,8.05,AU,1651352883
54,La Orilla,17.9833,-102.2333,83.53,52,45,11.27,MX,1651352960
55,Idenao,4.2475,9.0047,78.64,89,71,1.83,CM,1651352712
56,Pevek,69.7008,170.3133,4.48,96,97,5.77,RU,1651352961
57,Ucluelet,48.9329,-125.5528,56.08,82,75,1.99,CA,1651352962
58,Chara,56.9064,118.2631,31.32,87,100,2.77,RU,1651352962
59,Hualmay,-11.0964,-77.6139,70.18,77,72,10.38,PE,1651352963
60,Hilo,19.7297,-155.09,79.29,82,100,5.75,US,1651352964
61,Shingū,33.7333,135.9833,59.65,84,100,6.26,JP,1651352964
62,Cape Town,-33.9258,18.4232,59.92,79,74,4.0,ZA,1651352938
63,Kjøllefjord,70.9457,27.3465,28.45,65,100,16.31,NO,1651352965
64,Port Hardy,50.6996,-127.4199,52.27,65,30,1.68,CA,1651352966
65,Punta Arenas,-53.15,-70.9167,42.12,81,78,5.66,CL,1651352679
66,Jamestown,42.097,-79.2353,67.51,18,0,5.75,US,1651352966
67,Bud,39.447,-86.1758,78.82,58,100,15.39,US,1651352967
68,Airai,-8.9266,125.4092,59.61,83,82,3.09,TL,1651352968
69,Poum,-20.2333,164.0167,75.99,77,1,5.99,NC,1651352968
70,San Juan,-31.5375,-68.5364,67.66,27,0,12.28,AR,1651352516
71,Coromandel,-18.4733,-47.2003,72.75,46,77,2.59,BR,1651352969
72,Houma,29.5958,-90.7195,86.0,61,0,9.22,US,1651352970
73,Vardø,70.3705,31.1107,27.28,69,90,16.69,NO,1651352970
74,Klaksvík,62.2266,-6.589,43.72,88,28,8.63,FO,1651352971
75,South Lake Tahoe,38.9332,-119.9844,61.74,36,0,10.0,US,1651352971
76,Plettenberg Bay,-34.0527,23.3716,57.72,77,2,6.85,ZA,1651352972
77,Brae,60.3964,-1.353,45.0,77,90,12.26,GB,1651352972
78,Castro,-24.7911,-50.0119,62.33,92,41,4.21,BR,1651352973
79,Norman Wells,65.282,-126.8329,47.73,64,27,11.27,CA,1651352973
80,Te Anau,-45.4167,167.7167,54.59,91,100,8.97,NZ,1651352974
81,Tuktoyaktuk,69.4541,-133.0374,32.99,95,32,6.71,CA,1651352974
82,Puerto Ayora,-0.7393,-90.3518,80.56,79,88,8.48,EC,1651352975
83,Bethel,41.3712,-73.414,65.03,34,0,13.8,US,1651352845
84,Kununurra,-15.7667,128.7333,80.58,89,100,4.61,AU,1651352976
85,Kruisfontein,-34.0033,24.7314,53.89,82,6,6.91,ZA,1651352976
86,Butaritari,3.0707,172.7902,80.89,82,82,13.65,KI,1651352977
87,East London,-33.0153,27.9116,62.51,71,0,12.64,ZA,1651352977
88,Durusu,41.3053,28.6767,53.83,93,65,8.99,TR,1651352978
89,Manggar,-2.8833,108.2667,79.23,85,92,2.3,ID,1651352978
90,Bara,10.3744,10.7288,86.23,45,94,0.63,NG,1651352979
91,Port Hedland,-20.3167,118.5667,69.85,73,40,6.91,AU,1651352979
92,Husavik,66.0449,-17.3389,49.42,60,100,7.09,IS,1651352980
93,Mar del Plata,-38.0023,-57.5575,54.88,61,0,8.01,AR,1651352862
94,Aklavik,68.2191,-135.0107,36.18,100,97,11.68,CA,1651352981
95,Shenjiamen,29.9576,122.298,55.2,80,100,16.49,CN,1651352981
96,Kathu,7.9178,98.3332,87.69,99,70,6.02,TH,1651352982
97,Bandar-e Anzali,37.4727,49.4622,59.67,87,100,1.59,IR,1651352982
98,Qaanaaq,77.484,-69.3632,14.74,76,80,2.57,GL,1651352983
99,Sur,22.5667,59.5289,88.48,53,93,1.63,OM,1651352983
100,Hofn,64.2539,-15.2082,47.5,83,15,7.18,IS,1651352984
101,Charters Towers,-20.1,146.2667,67.24,80,0,7.18,AU,1651352984
102,Lebyazh'ye,55.2689,66.4947,41.18,45,100,10.4,RU,1651352985
103,Griffith,41.5284,-87.4237,73.26,65,100,19.57,US,1651352985
104,Gubkinskiy,64.434,76.5026,26.04,83,54,20.4,RU,1651352986
105,Kyabé,9.4515,18.9449,88.83,40,97,2.95,TD,1651352986
106,Lebu,-37.6167,-73.65,52.81,70,2,15.41,CL,1651352987
107,Richards Bay,-28.783,32.0377,64.96,80,6,9.1,ZA,1651352987
108,Mahébourg,-20.4081,57.7,74.25,77,38,10.27,MU,1651352988
109,Ribeira Grande,38.5167,-28.7,63.05,80,66,7.27,PT,1651352988
110,Naviraí,-23.065,-54.1906,75.78,72,69,5.53,BR,1651352989
111,Severnoye,56.3491,78.3619,39.51,75,100,13.73,RU,1651352990
112,Chernyshevskiy,63.0128,112.4714,22.28,95,48,4.0,RU,1651352990
113,Bredasdorp,-34.5322,20.0403,55.72,87,34,5.39,ZA,1651352991
114,Rāyagada,19.1667,83.4167,79.75,79,67,3.69,IN,1651352991
115,Kiunga,-6.1219,141.2906,74.25,93,100,0.67,PG,1651352992
116,Carauari,-4.8828,-66.8958,80.94,92,76,1.39,BR,1651352992
117,Half Moon Bay,37.4636,-122.4286,75.06,74,100,23.02,US,1651352993
118,Nikolskoye,59.7035,30.7861,39.79,72,100,6.96,RU,1651352993
119,Ponta do Sol,32.6667,-17.1,67.01,67,0,2.53,PT,1651352994
120,Yellowknife,62.456,-114.3525,35.56,51,38,8.99,CA,1651352994
121,Martapura,-3.4167,114.85,75.29,100,95,2.3,ID,1651352995
122,Vaini,-21.2,-175.2,78.96,94,75,12.66,TO,1651352996
123,Quaraí,-30.3875,-56.4514,57.2,78,100,12.82,BR,1651352996
124,Angoche,-16.2325,39.9086,72.5,89,13,7.29,MZ,1651352997
125,Puerto Quijarro,-17.7833,-57.7667,91.24,30,72,3.49,BO,1651352997
126,Mount Gambier,-37.8333,140.7667,57.11,94,100,11.5,AU,1651352998
127,Dikson,73.5069,80.5464,17.49,94,100,19.01,RU,1651352998
128,Shahrud,36.4182,54.9763,57.49,73,100,11.63,IR,1651352999
129,Kushiro,42.975,144.3747,41.13,56,100,3.58,JP,1651353000
130,Mossamedes,-15.1961,12.1522,74.82,82,31,5.23,AO,1651353001
131,Port Elizabeth,-33.918,25.5701,61.32,74,5,11.99,ZA,1651353001
132,Kysyl-Syr,63.8986,122.7617,33.44,98,100,10.8,RU,1651353002
133,Granada,37.25,-3.25,61.45,41,39,2.35,ES,1651353003
134,Saint-Augustin,51.226,-58.6502,38.59,87,100,15.9,CA,1651353003
135,Esim,4.8699,-2.2405,80.74,85,100,6.15,GH,1651353004
136,Beringovskiy,63.05,179.3167,24.75,91,100,19.17,RU,1651353005
137,Darhan,49.4867,105.9228,49.42,46,76,4.56,MN,1651353005
138,Tuatapere,-46.1333,167.6833,57.51,81,100,10.83,NZ,1651353006
139,Sladkovo,55.5284,70.3385,41.09,55,100,10.25,RU,1651353006
140,Kahului,20.8947,-156.47,80.62,68,40,16.11,US,1651352849
141,Lingao,19.9103,109.6859,75.42,95,100,7.52,CN,1651353007
142,Emerald,-23.5333,148.1667,62.35,85,55,3.44,AU,1651352783
143,Lampang,18.3333,99.5,79.86,87,100,1.28,TH,1651353008
144,Ingham,42.6,-84.3833,59.16,54,75,11.5,US,1651353009
145,Kawalu,-7.3817,108.2082,72.05,95,99,2.77,ID,1651353009
146,Āsosa,10.0667,34.5333,70.09,55,89,0.96,ET,1651353010
147,Sinnamary,5.3833,-52.95,80.53,76,59,9.1,GF,1651353011
148,Province of Mantua,45.1667,10.7833,61.84,69,87,1.14,IT,1651353011
149,Luanda,-8.8368,13.2343,78.8,83,20,6.91,AO,1651352895
150,Chui,-33.6971,-53.4616,55.44,70,100,3.78,UY,1651353012
151,Diamantino,-14.4086,-56.4461,82.36,49,78,4.21,BR,1651353013
152,São Miguel do Araguaia,-13.275,-50.1628,79.34,48,4,3.98,BR,1651353013
153,Lüderitz,-26.6481,15.1594,59.59,58,0,13.96,NA,1651353014
154,Arrondissement de Muret,43.3333,1.25,62.04,89,90,1.99,FR,1651353015
155,Hearst,49.6835,-83.6665,56.77,59,95,7.47,CA,1651353015
156,Manavgat,36.7867,31.4431,67.78,58,99,4.09,TR,1651352841
157,Palimbang,6.2106,124.1894,77.65,87,36,3.62,PH,1651353016
158,Pangnirtung,66.1451,-65.7125,25.92,92,100,4.5,CA,1651353017
159,Iskateley,67.6803,53.1512,14.25,95,93,8.41,RU,1651353017
160,Cayenne,4.9333,-52.3333,83.08,24,75,10.36,GF,1651353018
161,Newport,51.5877,-2.9984,54.25,66,100,5.99,GB,1651352957
162,Saint George,37.1041,-113.5841,83.62,11,0,6.91,US,1651353019
163,Yaya,56.206,86.44,48.42,86,100,12.44,RU,1651353019
164,Hervey Bay,-25.2986,152.8535,67.01,96,91,8.01,AU,1651353020
165,Marawi,7.9986,124.2928,67.46,95,50,1.21,PH,1651353021
166,Toba,34.4833,136.85,63.09,78,100,3.0,JP,1651353022
167,Cherskiy,68.75,161.3,14.11,90,85,5.93,RU,1651353022
168,Mezen',65.8522,44.24,18.57,96,45,4.32,RU,1651353023
169,Camocim,-2.9022,-40.8411,77.94,88,43,7.11,BR,1651353024
170,Codrington,-38.2667,141.9667,57.24,85,99,12.84,AU,1651353024
171,Coruripe,-10.1256,-36.1756,76.84,78,100,7.92,BR,1651353025
172,Ţahţā,26.7693,31.5021,81.48,17,0,10.96,EG,1651353026
173,Hamilton,39.1834,-84.5333,74.25,70,0,13.8,US,1651352998
174,La Grande,45.3246,-118.0877,52.74,67,100,9.44,US,1651353027
175,Esperance,-33.8667,121.9,58.12,67,0,6.6,AU,1651353027
176,Mareeba,-17.0,145.4333,69.44,92,82,1.68,AU,1651353028
177,Pingliang,35.5392,106.6861,43.38,26,100,6.44,CN,1651353028
178,Bilibino,68.0546,166.4372,10.49,88,57,2.37,RU,1651353029
179,Dongsheng,39.8161,109.9776,42.4,21,0,17.11,CN,1651353030
180,Broken Hill,-31.95,141.4333,53.42,68,0,2.37,AU,1651353030
181,Port Lincoln,-34.7333,135.8667,58.24,85,16,8.28,AU,1651353031
182,Laguna,38.421,-121.4238,83.14,38,20,5.01,US,1651353031
183,Saskylakh,71.9167,114.0833,9.79,91,100,16.91,RU,1651353032
184,Mujiayingzi,42.1167,118.7833,44.76,28,98,10.54,CN,1651353032
185,Trojes,41.756,19.962,52.29,85,11,4.5,AL,1651353033
186,Flinders,-34.5833,150.8552,55.06,81,0,3.0,AU,1651353034
187,Faanui,-16.4833,-151.75,81.21,72,8,14.97,PF,1651353034
188,Ygatimi,-24.0833,-55.5,80.47,66,19,4.9,PY,1651353035
189,Riyadh,24.6877,46.7219,75.34,26,0,5.91,SA,1651352826
190,Lata,40.1629,-8.3327,54.57,82,0,2.17,PT,1651353035
191,Yurginskoye,56.8189,67.3921,37.24,54,100,5.57,RU,1651353036
192,Caravelas,-17.7125,-39.2481,74.88,78,1,4.85,BR,1651353037
193,Ternate,0.8,127.4,79.83,80,100,1.72,ID,1651353037
194,Makakilo City,21.3469,-158.0858,80.92,60,75,19.57,US,1651353038
195,Buraidah,26.326,43.975,81.25,35,1,11.14,SA,1651353038
196,Rovaniemi,66.5,25.7167,31.41,51,0,3.44,FI,1651353039
197,Andros,37.8333,24.9333,63.16,80,0,23.91,GR,1651353039
198,Yala,6.3333,101.25,80.6,95,100,2.51,TH,1651352752
199,Buala,-8.145,159.5921,80.96,78,100,1.16,SB,1651353040
200,Mahon,39.8885,4.2658,61.36,72,0,2.3,ES,1651352959
201,Uyemskiy,64.4743,40.8524,26.65,100,40,2.24,RU,1651353041
202,Koźle,50.3356,18.1433,54.45,62,94,3.69,PL,1651353043
203,Mackay,-21.15,149.2,68.68,89,9,11.39,AU,1651352952
204,Vao,-22.6667,167.4833,75.06,83,71,23.67,NC,1651353043
205,Bengkulu,-3.8004,102.2655,75.72,90,91,5.59,ID,1651353044
206,Lokosovo,61.1333,74.8167,21.87,88,5,5.17,RU,1651353044
207,Sungai Raya,0.7,108.9,78.22,87,100,3.94,ID,1651353045
208,Lakes Entrance,-37.8811,147.981,47.16,71,68,9.04,AU,1651353045
209,Rundu,-17.9333,19.7667,68.32,44,43,5.41,NA,1651353046
210,Manzhouli,49.6,117.4333,35.69,38,100,3.09,CN,1651353047
211,Calabozo,8.9242,-67.4293,78.75,81,100,6.46,VE,1651353047
212,Kaifeng,34.7911,114.3483,50.88,55,100,8.12,CN,1651353048
213,Tiksi,71.6872,128.8694,34.2,91,100,16.11,RU,1651353048
214,Provideniya,64.3833,-173.3,31.59,89,100,16.17,RU,1651353049
215,Thompson,55.7435,-97.8558,35.38,97,100,9.01,CA,1651353049
216,Boksitogorsk,59.474,33.8485,26.6,75,99,5.01,RU,1651353050
217,Russell,32.3502,-85.1999,85.15,45,20,9.22,US,1651353050
218,Sambava,-14.2667,50.1667,75.15,90,22,8.57,MG,1651353051
219,Itarema,-2.9248,-39.9167,77.43,90,11,7.96,BR,1651353051
220,Portland,45.5234,-122.6762,57.18,82,100,5.75,US,1651352547
221,Upernavik,72.7868,-56.1549,16.66,73,53,1.88,GL,1651353052
222,Guerrero Negro,27.9769,-114.0611,68.63,57,71,15.7,MX,1651353053
223,Malatya Province,38.5,38.0,57.25,55,75,8.05,TR,1651353053
224,Moranbah,-22.0016,148.0466,65.32,88,22,7.96,AU,1651353054
225,Mbaïki,3.8678,17.9892,74.12,72,76,1.45,CF,1651353054
226,Kingsport,36.5484,-82.5618,80.1,43,40,5.75,US,1651353013
227,Necochea,-38.5473,-58.7368,53.42,49,7,6.98,AR,1651353055
228,Namatanai,-3.6667,152.4333,79.75,81,83,2.84,PG,1651353056
229,Yangi Marg`ilon,40.4272,71.7189,66.92,59,33,4.61,UZ,1651353056
230,Verkh-Usugli,52.7,115.1667,34.83,89,80,1.74,RU,1651353057
231,Kisangani,0.5167,25.2,69.6,98,96,2.19,CD,1651353057
232,Zhangaözen,43.3,52.8,60.76,68,88,4.21,KZ,1651353058
233,Cap Malheureux,-19.9842,57.6142,74.46,82,5,1.01,MU,1651353058
234,San Patricio,28.017,-97.5169,88.52,59,75,16.35,US,1651353059
235,Yayva,59.3303,57.2641,31.17,74,95,5.57,RU,1651353059
236,Chilca,-12.5211,-76.7372,68.05,83,53,7.92,PE,1651353060
237,Chicama,-7.8447,-79.1469,63.14,64,45,10.09,PE,1651353060
238,Tasiilaq,65.6145,-37.6368,37.56,69,14,1.05,GL,1651353061
239,Lagoa,39.05,-27.9833,60.76,87,0,10.11,PT,1651353061
240,Xai-Xai,-25.0519,33.6442,72.36,79,89,19.04,MZ,1651353064
241,Lesnoy,57.6198,63.0784,33.87,58,9,5.93,RU,1651353064
242,São João da Barra,-21.6403,-41.0511,77.09,82,26,8.39,BR,1651353065
243,Abu Samrah,35.3029,37.1841,63.79,75,6,14.61,SY,1651353066
244,Kaitangata,-46.2817,169.8464,53.55,77,99,4.14,NZ,1651353066
245,Kuril'sk,45.2333,147.8833,32.95,85,54,9.1,RU,1651353067
246,Nome,64.5011,-165.4064,50.07,40,0,6.91,US,1651353068
247,Kieta,-6.2167,155.6333,80.38,79,100,2.21,PG,1651353068
248,Ossora,59.2353,163.0719,28.33,85,42,3.53,RU,1651353069
249,Oudtshoorn,-33.5907,22.2014,55.33,78,5,2.53,ZA,1651353069
250,Okahandja,-21.9833,16.9167,61.97,40,1,6.53,NA,1651353070
251,Olafsvik,64.8945,-23.7142,44.62,86,98,14.92,IS,1651353070
252,Kiryat Gat,31.61,34.7642,66.4,100,0,10.76,IL,1651352884
253,Constitución,-35.3333,-72.4167,58.59,58,3,13.71,CL,1651352985
254,Viedma,-40.8135,-62.9967,57.61,34,87,9.22,AR,1651353071
255,Yaan,7.3833,8.5667,83.86,61,100,8.59,NG,1651353072
256,Chiltepec,18.4847,-96.9019,88.61,55,73,2.89,MX,1651353073
257,Broome,42.2506,-75.833,61.32,26,0,11.5,US,1651353073
258,Rio Grande,-32.035,-52.0986,61.95,70,10,6.73,BR,1651353074
259,Christchurch,-43.5333,172.6333,61.48,85,27,3.44,NZ,1651352792
260,Bay Roberts,47.5999,-53.2648,45.52,94,100,4.09,CA,1651353075
261,Nemuro,43.3236,145.575,38.26,58,95,2.44,JP,1651353075
262,Tual,-5.6667,132.75,83.88,73,84,15.12,ID,1651353076
263,Katherine,-14.4667,132.2667,75.52,60,64,8.05,AU,1651353077
264,San Francisco,37.7749,-122.4194,76.32,74,75,23.02,US,1651352964
265,Calvinia,-31.4707,19.776,56.55,40,41,4.41,ZA,1651353077
