,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
266,Dubbo,-32.25,148.6167,44.73,93,4,8.05,AU,1651352891
267,Springdale,36.1867,-94.1288,73.58,50,0,18.41,US,1651352909
268,Nam Som,17.7704,102.1895,80.2,73,100,2.57,TH,1651353078
269,Salalah,17.0151,54.0924,86.09,79,40,4.61,OM,1651353079
270,Nouadhibou,20.931,-17.0347,64.98,87,99,24.72,MR,1651353080
271,Adelaide,-34.9333,138.6,56.43,77,50,1.99,AU,1651353080
272,Marzuq,14.4,46.4667,75.99,58,42,3.89,YE,1651353081
273,Yantzaza,-3.8278,-78.7594,67.41,99,100,1.07,EC,1651353081
274,Beyneu,45.3167,55.2,63.82,74,41,8.88,KZ,1651353082
275,Tessalit,20.1986,1.0114,84.38,9,0,8.5,ML,1651353082
276,Comodoro Rivadavia,-45.8667,-67.5,49.86,66,20,10.36,AR,1651353083
277,Honiara,-9.4333,159.95,80.33,83,82,1.74,SB,1651353084
278,Narsaq,60.9167,-46.05,55.62,63,34,2.48,GL,1651353084
279,Sept-Îles,50.2001,-66.3821,45.05,65,93,8.01,CA,1651353085
280,Tonekābon,36.8163,50.8738,62.55,95,100,3.65,IR,1651353086
281,Geraldton,-28.7667,114.6,54.01,76,0,9.22,AU,1651353086
282,Tarancón,40.0085,-3.0073,56.86,75,100,3.02,ES,1651353087
283,Jérémie,18.65,-74.1167,79.9,74,38,4.54,HT,1651353087
284,Bamboo,18.3922,-77.2643,74.17,76,90,9.84,JM,1651353088
285,Hithadhoo,-0.6,73.0833,85.15,68,100,14.61,MV,1651353088
286,Mahajanga,-15.7167,46.3167,78.17,79,0,8.7,MG,1651353089
287,Hanzhong,33.0728,107.0303,50.36,56,100,1.52,CN,1651353089
288,Valdivia,-39.8142,-73.2459,57.29,77,73,1.79,CL,1651353090
289,Praia,14.9215,-23.5087,72.14,73,20,13.8,CV,1651353090
290,Adrar,20.5022,-10.0711,81.91,10,0,7.9,MR,1651353091
291,Mandurah,-32.55,115.7,57.42,76,0,7.74,AU,1651353092
292,Camacha,33.0833,-16.3333,60.22,82,40,12.66,PT,1651353092
293,Gijang,35.2442,129.2139,53.33,76,100,5.37,KR,1651353093
294,Rapid Valley,44.0625,-103.1463,56.77,46,40,33.38,US,1651353093
295,Ulaangom,49.9811,92.0667,50.36,30,100,2.3,MN,1651353094
296,Paita,-5.0892,-81.1144,74.23,70,80,13.11,PE,1651353095
297,Ilhabela,-23.7781,-45.3581,70.68,86,100,5.48,BR,1651353095
298,Verkhnetulomskiy,68.6073,31.7962,23.13,94,33,2.64,RU,1651353096
299,Maumere,-8.6199,122.2111,79.84,82,91,3.76,ID,1651353096
300,Morón,-34.6534,-58.6198,57.96,54,97,0.81,AR,1651353097
301,Enugu,6.4402,7.4943,79.38,78,100,4.74,NG,1651353097
302,Yerbogachën,61.2767,108.0108,32.54,96,100,2.73,RU,1651353098
303,Carnarvon,-24.8667,113.6333,60.87,63,0,8.05,AU,1651353067
304,Emporia,38.4039,-96.1817,66.4,42,75,25.32,US,1651353099
305,Caucaia,-3.7361,-38.6531,83.03,71,20,8.05,BR,1651352968
306,Valentín Gómez Farías,28.2167,-106.5833,82.54,6,27,8.16,MX,1651353100
307,Belyy Yar,53.6039,91.3903,40.89,60,0,0.0,RU,1651353100
308,Alyangula,-13.8483,136.4192,81.05,68,61,11.65,AU,1651353101
309,Leh,34.1667,77.5833,42.96,65,91,2.21,IN,1651353027
310,Bandarbeyla,9.4942,50.8122,83.88,74,81,2.93,SO,1651353102
311,Cururupu,-1.8283,-44.8683,75.76,93,91,3.4,BR,1651353102
312,Souillac,-20.5167,57.5167,75.65,80,14,8.37,MU,1651353103
313,Niigata,37.9022,139.0236,46.92,71,100,2.04,JP,1651352998
314,Bambous Virieux,-20.3428,57.7575,74.21,78,48,10.45,MU,1651353103
315,General Roca,-39.0333,-67.5833,64.62,24,2,9.37,AR,1651353104
316,Mandera,3.9366,41.867,80.98,71,96,10.42,KE,1651353104
317,Largu,44.9667,27.15,51.71,68,44,3.47,RO,1651353105
318,Mpika,-11.8343,31.4529,57.99,90,42,2.98,ZM,1651353106
319,Pisco,-13.7,-76.2167,71.65,64,0,21.85,PE,1651353106
320,Freeport,40.6576,-73.5832,69.78,27,0,14.97,US,1651353107
321,Nanortalik,60.1432,-45.2371,37.71,85,98,0.36,GL,1651353107
322,Saint-Pierre,-21.3393,55.4781,76.68,80,100,4.61,RE,1651353108
323,Praia,14.9215,-23.5087,72.14,73,20,13.8,CV,1651353108
324,Cadolzburg,49.4573,10.8533,50.92,82,0,5.75,DE,1651353109
325,Totness,5.8833,-56.3167,81.01,74,96,12.3,SR,1651353109
326,Havre-St-Pierre,50.2334,-63.5986,34.39,92,100,19.82,CA,1651353110
327,Thinadhoo,0.5333,72.9333,85.82,68,69,15.46,MV,1651353111
328,Kaili,-3.4626,120.2147,67.24,96,94,2.75,ID,1651353111
329,Touros,-5.1989,-35.4608,80.4,74,15,15.59,BR,1651353047
330,Nha Trang,12.25,109.1833,75.2,91,100,3.85,VN,1651353112
331,Fianarantsoa,-21.4333,47.0833,60.69,92,91,2.37,MG,1651353112
332,Manakara,-22.1333,48.0167,71.46,89,59,4.36,MG,1651352844
333,Balakhninskiy,58.0106,114.2769,35.83,99,100,1.7,RU,1651353113
334,Leshukonskoye,64.8989,45.7622,20.93,95,74,3.91,RU,1651353114
335,College,64.8569,-147.8028,55.09,33,40,13.8,US,1651353115
336,Asău,46.4333,26.4,42.96,100,71,2.71,RO,1651353115
337,Zhuhai,22.2769,113.5678,76.71,88,40,14.97,CN,1651353116
338,Arrondissement de Limoges,45.75,1.3333,55.96,58,0,6.91,FR,1651352835
339,Tazovsky,67.4667,78.7,13.24,92,61,8.75,RU,1651353117
340,Gladstone,-23.85,151.25,69.78,88,87,4.61,AU,1651353117
341,Tabora,-5.0167,32.8,64.31,86,37,3.2,TZ,1651353118
342,Berdigestyakh,62.0989,126.6992,27.72,84,8,6.26,RU,1651353118
343,Shiraz,29.6036,52.5388,60.24,48,40,4.61,IR,1651353085
344,Toamasina,-18.1667,49.3833,71.4,87,2,3.27,MG,1651353119
345,Chauny,49.6151,3.2186,42.3,86,11,5.64,FR,1651353120
346,Belmonte,-15.8631,-38.8828,76.06,80,16,6.17,BR,1651353121
347,Maxixe,-23.8597,35.3472,66.94,87,3,5.84,MZ,1651353121
348,Novyy Urgal,51.0736,132.5642,31.95,80,73,2.64,RU,1651353122
349,Tonantins,-2.8731,-67.8022,79.93,91,32,2.28,BR,1651353123
350,Dārāb,28.7519,54.5444,66.83,47,0,0.69,IR,1651352841
351,Aitape,-3.1374,142.3475,77.94,84,100,3.89,PG,1651353124
352,Salinópolis,-0.6136,-47.3561,78.01,88,65,8.12,BR,1651353124
353,Dunedin,-45.8742,170.5036,58.8,68,97,5.01,NZ,1651353115
354,Byron Bay,-28.65,153.6167,63.95,89,100,11.72,AU,1651353125
355,Kloulklubed,7.0419,134.2556,82.45,74,97,5.28,PW,1651353126
356,Hirara,24.8,125.2833,75.49,87,100,15.66,JP,1651353126
357,Alice Springs,-23.7,133.8833,56.75,72,40,6.91,AU,1651353127
358,Benghazi,32.1167,20.0667,69.15,53,100,13.8,LY,1651353128
359,Acapulco de Juárez,16.8634,-99.8901,85.82,66,20,10.36,MX,1651352969
360,Maunabo,18.0072,-65.8993,78.64,92,100,4.83,PR,1651353128
361,Husum,54.4858,9.0524,48.09,89,12,6.22,DE,1651353129
362,Katsuura,35.1333,140.3,57.94,74,100,10.33,JP,1651353130
363,Salisbury,51.0693,-1.7957,52.65,78,100,4.59,GB,1651353130
364,Zhanakorgan,43.9098,67.2495,73.17,22,94,3.65,KZ,1651353131
365,Kirakira,-10.4544,161.9205,81.75,78,100,2.21,SB,1651353132
366,Atambua,-9.1061,124.8925,72.57,90,99,4.27,ID,1651353132
367,Doha,25.2867,51.5333,82.38,57,0,4.61,QA,1651353010
368,Mwinilunga,-11.7358,24.4293,65.98,66,98,7.4,ZM,1651353133
369,San Alfonso,7.7803,126.4203,76.05,93,96,2.8,PH,1651353134
370,Mehamn,71.0357,27.8492,29.7,65,98,16.8,NO,1651353134
371,Leiyang,26.4024,112.8591,55.94,96,100,5.46,CN,1651353135
372,Tura,25.5198,90.2201,67.51,92,74,3.89,IN,1651353136
373,Moratuwa,6.773,79.8816,80.76,86,100,7.05,LK,1651353136
374,Ettlingen,48.9409,8.4076,49.71,86,97,0.67,DE,1651353137
375,Henties Bay,-22.116,14.2845,58.77,83,0,8.43,NA,1651353138
376,Kalispell,48.1958,-114.3129,57.78,43,100,5.75,US,1651353050
377,Blagoyevo,63.3667,47.9167,24.06,95,83,3.49,RU,1651353139
378,Havelock,34.8791,-76.9013,73.94,68,92,1.99,US,1651352666
379,Fairbanks,64.8378,-147.7164,55.09,33,0,13.8,US,1651353009
380,Somerville,42.3876,-71.0995,62.01,42,40,13.8,US,1651353076
381,Acaraú,-2.8856,-40.12,78.46,87,18,8.59,BR,1651353140
382,Caucayá,-0.1934,-74.7819,73.89,96,100,2.39,CO,1651353141
383,Bubaque,11.2833,-15.8333,77.23,72,60,12.19,GW,1651353141
384,Khovd,48.0056,91.6419,49.86,26,98,7.72,MN,1651353142
385,Winslow,35.0242,-110.6974,75.38,7,0,3.44,US,1651353143
386,Merauke,-8.4667,140.3333,79.39,86,100,12.77,ID,1651353143
387,Kincardine,56.0667,-3.7167,53.19,95,100,6.98,GB,1651353144
388,Pravda,46.9396,142.009,38.25,58,80,2.98,RU,1651353144
389,Xichang,27.8964,102.2634,46.99,90,100,7.43,CN,1651353145
390,Vagay,57.9375,69.0217,33.94,66,100,4.38,RU,1651353146
391,Malinovoye Ozero,51.6753,79.7825,61.54,29,28,10.45,RU,1651353146
392,Ennis,52.8436,-8.9864,51.73,82,75,6.91,IE,1651353147
393,Kabinda,-6.1333,24.4833,69.24,92,100,1.54,CD,1651353148
394,Isangel,-19.55,169.2667,79.59,87,100,9.64,VU,1651353148
395,Harnai,30.1005,67.9374,83.46,11,0,7.72,PK,1651353149
396,Arman',59.7,150.1667,34.02,69,6,5.5,RU,1651353149
397,Tirumullaivāsal,11.2333,79.8333,84.15,81,71,11.88,IN,1651353150
398,Port Blair,11.6667,92.75,78.84,94,40,2.3,IN,1651353151
399,Brunsbüttel,53.9,9.15,44.83,84,8,6.51,DE,1651353152
400,Susanville,40.4163,-120.653,66.9,35,20,13.0,US,1651353152
401,Kot Samaba,28.5522,70.4684,94.75,8,0,6.85,PK,1651353153
402,Nālūt,30.3333,10.85,73.87,18,100,10.67,LY,1651353153
403,Aksarka,66.5606,67.7975,12.54,93,15,7.02,RU,1651353154
404,Sørland,67.667,12.6934,37.47,67,38,9.57,NO,1651353154
405,Puerto Escondido,15.85,-97.0667,88.63,66,40,9.22,MX,1651353155
406,Itaberaí,-16.0203,-49.8103,74.82,43,63,5.12,BR,1651353155
407,Korla,41.7597,86.1469,57.7,29,5,3.27,CN,1651353156
408,Banjarmasin,-3.3244,114.591,75.34,96,97,3.65,ID,1651353072
409,Kudahuvadhoo,2.6708,72.8944,85.48,68,91,17.0,MV,1651353157
410,Meleuz,52.9667,55.9167,42.12,63,26,3.78,RU,1651353157
411,Saint-Ambroise,48.5501,-71.3324,47.5,63,97,6.02,CA,1651353158
412,Karachi,24.9056,67.0822,85.82,54,29,9.22,PK,1651353030
413,Yelizovo,53.1873,158.3805,37.54,64,40,7.0,RU,1651353158
414,Coquimbo,-29.9533,-71.3436,60.53,77,0,8.05,CL,1651353097
415,Port Moresby,-9.4431,147.1797,77.52,84,100,4.38,PG,1651353159
416,Altay,47.8667,88.1167,51.17,30,95,10.49,CN,1651353160
417,San Mateo del Mar,16.2,-95.0,84.36,69,14,14.85,MX,1651353160
418,Tanout,14.9709,8.8879,91.71,14,58,6.13,NE,1651353161
419,Santiago,-33.4569,-70.6483,73.29,33,0,12.66,CL,1651352889
420,Cabra,37.4725,-4.4421,62.65,41,19,4.5,ES,1651353161
421,Darnah,32.767,22.6367,62.4,71,41,8.99,LY,1651353162
422,Playas,-2.6333,-80.3833,76.78,79,27,12.86,EC,1651353162
423,Makīnsk,52.6292,70.4169,48.87,63,84,14.81,KZ,1651353163
424,Mt. Pleasant,32.7941,-79.8626,80.74,54,0,13.8,US,1651353163
425,Kutum,14.2,24.6667,80.15,13,56,6.85,SD,1651353164
426,Bajil,15.0584,43.2851,88.99,41,99,2.98,YE,1651353165
427,Evensk,61.95,159.2333,33.28,62,12,7.99,RU,1651353165
428,Santa Maria,-29.6842,-53.8069,60.69,87,98,5.3,BR,1651353023
429,Nsanje,-16.92,35.262,65.88,86,0,1.52,MW,1651353166
430,Kongoussi,13.3258,-1.5347,92.98,29,69,10.16,BF,1651353167
431,Hong Kong,22.2855,114.1577,76.32,87,100,15.01,HK,1651353168
432,Kadom,54.5592,42.4675,33.19,69,54,6.04,RU,1651353168
433,Port Macquarie,-31.4333,152.9167,59.9,87,6,8.88,AU,1651353169
434,Daşoguz,41.8363,59.9666,70.68,44,100,11.3,TM,1651353169
435,Erzin,36.9559,36.2,64.35,79,100,3.36,TR,1651353170
436,Millport,55.7535,-4.9256,52.32,93,100,11.34,GB,1651353170
437,Labuhan,-6.8844,112.2051,78.87,90,100,8.84,ID,1651353171
438,Dwārka,22.2394,68.9678,82.8,87,0,18.77,IN,1651353171
439,Coyhaique,-45.5752,-72.0662,49.95,71,75,6.91,CL,1651353172
440,Bereda,43.2686,-7.5406,52.14,97,11,2.51,ES,1651353172
441,Harper,4.375,-7.7169,81.09,79,100,7.02,LR,1651353173
442,Laas,46.6166,10.7002,44.37,96,99,3.76,IT,1651353173
443,Oodweyne,9.4092,45.064,78.46,54,98,1.88,SO,1651353174
444,Fare,-16.7,-151.0167,81.27,72,2,15.43,PF,1651353175
445,Atar,20.5169,-13.0499,84.92,10,37,7.2,MR,1651353175
446,Lufilufi,-13.8745,-171.5986,76.78,74,81,12.55,WS,1651353176
447,Malakal,9.5334,31.6605,87.6,44,43,7.54,SS,1651353176
448,Palana,59.1167,159.9667,28.8,73,13,1.77,RU,1651353177
449,Tezu,27.9167,96.1667,71.2,71,100,2.75,IN,1651353177
450,Sobolevo,54.4299,31.8996,37.65,67,28,2.35,RU,1651353178
451,Coahuayana Viejo,18.7333,-103.6833,87.39,40,53,8.75,MX,1651353179
452,Faya,18.3851,42.4509,63.12,37,43,12.19,SA,1651353179
453,Mudanjiang,44.5833,129.6,35.96,90,82,5.79,CN,1651353180
454,Oktyabr'skiy,54.4815,53.471,42.33,63,82,2.66,RU,1651353180
455,North Platte,41.1239,-100.7654,60.69,40,40,28.99,US,1651353181
456,San Joaquin,37.9333,-121.3011,80.67,33,0,18.41,US,1651353182
457,Venado Tuerto,-33.7456,-61.9688,56.1,40,61,6.02,AR,1651353182
458,Banatski Karlovac,45.0472,21.0161,58.6,73,1,8.93,RS,1651353183
459,Ribeira Brava,32.65,-17.0667,67.01,68,0,2.26,PT,1651353183
460,Vestmannaeyjar,63.4427,-20.2734,46.36,85,21,17.05,IS,1651353184
461,Ambilobe,-13.2,49.05,72.84,96,17,2.86,MG,1651353185
462,Sungai Penuh,-2.0833,101.3833,65.5,97,100,0.98,ID,1651353185
463,Capreol,46.706,-80.9225,62.55,21,100,5.01,CA,1651353186
464,Merritt,50.1123,-120.7942,47.86,84,100,0.89,CA,1651352960
465,Ikast,56.1388,9.1577,41.29,81,75,4.61,DK,1651353187
466,Meïganga,6.5167,14.3,67.55,95,100,3.06,CM,1651353187
467,Paamiut,61.994,-49.6678,33.04,94,77,14.14,GL,1651353188
468,Paracuru,-3.41,-39.0306,83.1,88,13,7.65,BR,1651353188
469,Siocon,7.7061,122.1353,78.57,87,90,4.21,PH,1651353189
470,Muravlenko,63.7898,74.523,26.29,78,13,19.42,RU,1651353190
471,Khilok,51.3674,110.4676,40.89,86,96,3.6,RU,1651353190
472,Remontnoye,46.5614,43.6501,56.95,42,100,11.36,RU,1651353191
473,Strezhevoy,60.7333,77.5889,25.63,77,0,2.01,RU,1651353192
474,Kinkala,-4.3614,14.7644,71.31,92,99,3.22,CG,1651353192
475,Camabatela,-8.1881,15.375,62.62,94,100,1.43,AO,1651353193
476,Conceição do Araguaia,-8.2578,-49.2647,78.33,74,99,3.2,BR,1651353194
477,Mayo,38.8876,-76.5119,71.73,34,0,10.36,US,1651353195
478,Walvis Bay,-22.9575,14.5053,57.09,83,0,8.14,NA,1651353195
479,Naze,28.3667,129.4833,62.87,72,100,13.33,JP,1651353196
480,Hūn,29.1268,15.9477,81.84,15,81,25.05,LY,1651353197
481,Keetmanshoop,-26.5833,18.1333,61.7,22,0,10.98,NA,1651353197
482,Prince Rupert,54.3161,-130.3201,55.08,52,88,4.9,CA,1651353198
483,Najrān,17.4924,44.1277,77.95,35,9,2.68,SA,1651353198
484,Yermish',54.7678,42.2711,31.86,70,28,6.17,RU,1651353199
485,Kavieng,-2.5744,150.7967,82.02,73,100,2.93,PG,1651353200
486,Sarkand,45.41,79.9186,63.36,24,100,7.16,KZ,1651353200
487,Minsk,53.9,27.5667,36.73,66,80,3.85,BY,1651353000
488,Vaasa,63.096,21.6158,38.28,87,0,4.61,FI,1651353201
489,Vetluga,57.8557,45.781,28.17,90,64,6.15,RU,1651353201
490,Vaitape,-16.5167,-151.75,81.21,72,7,14.99,PF,1651353202
491,Horní Jiřetín,50.5731,13.5472,52.75,68,99,2.57,CZ,1651353203
492,Iqaluit,63.7506,-68.5145,23.7,79,100,10.0,CA,1651353203
493,Fatezh,52.0891,35.8632,35.58,71,30,6.87,RU,1651353204
494,Fort Nelson,58.8053,-122.7002,41.43,84,88,7.7,CA,1651352960
495,Bilma,18.6853,12.9164,94.69,8,69,5.59,NE,1651353204
496,Lujiang,31.2581,117.2817,51.76,90,100,7.27,CN,1651353205
497,Chumikan,54.7183,135.315,30.06,92,100,1.39,RU,1651353206
498,Tuensang,26.2833,94.8333,62.89,97,99,1.3,IN,1651353206
499,Moanda,-1.5575,13.2178,71.46,89,76,1.79,GA,1651353207
500,Bhīmunipatnam,17.8833,83.4333,83.71,90,14,7.27,IN,1651353207
501,Xifeng,42.7372,124.7222,38.53,58,100,3.44,CN,1651353208
502,Utete,-7.986,38.758,72.16,89,78,2.59,TZ,1651353208
503,Talaya,61.3833,152.75,16.74,94,100,2.21,RU,1651353209
504,Salina,38.8403,-97.6114,69.93,35,0,29.93,US,1651352926
505,Petauke,-14.2426,31.3253,61.2,78,52,3.71,ZM,1651353209
506,Yar-Sale,66.8333,70.8333,15.35,89,27,10.16,RU,1651353210
507,Vanimo,-2.6741,141.3028,77.07,85,98,2.91,PG,1651353211
508,Kourou,5.1552,-52.6478,83.1,75,62,7.63,GF,1651353211
509,Anloga,5.7947,0.8973,83.12,75,26,11.74,GH,1651353212
510,Hasaki,35.7333,140.8333,46.8,61,100,10.2,JP,1651353212
511,Les Cayes,18.2,-73.75,80.2,71,93,5.61,HT,1651353213
512,Nouakchott,18.0858,-15.9785,70.61,63,7,14.92,MR,1651353213
513,Manicoré,-5.8092,-61.3003,79.56,85,62,1.34,BR,1651353214
514,Semīrom,31.4167,51.5667,47.17,82,23,4.29,IR,1651353214
515,Ayagoz,47.9714,80.4392,58.19,20,100,5.17,KZ,1651353215
516,Swan Hill,-35.3378,143.5544,51.4,76,6,4.59,AU,1651353215
517,Şinteu,47.15,22.4833,50.52,73,59,4.34,RO,1651353216
518,Traverse City,44.7631,-85.6206,60.91,51,100,11.5,US,1651352957
519,Tabligbo,6.5833,1.5,80.85,76,95,6.24,TG,1651353217
520,Fonte Boa,-2.4959,-66.2662,79.83,86,42,3.11,BR,1651353217
521,Kaihua,23.3687,104.28,56.46,87,100,10.89,CN,1651353218
522,Qasigiannguit,68.8193,-51.1922,25.05,80,3,5.99,GL,1651353218
523,Požega,45.3403,17.6853,56.77,85,34,3.87,HR,1651353219
524,Sitka,57.0531,-135.33,55.29,44,40,9.22,US,1651353220
525,Hinton,53.4001,-117.5857,39.6,92,100,3.65,CA,1651353221
526,West Wendover,40.7391,-114.0733,61.81,19,0,4.61,US,1651353221
527,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,68.88,68,99,6.17,AR,1651353222
528,Miandrivazo,-19.5167,45.4667,73.33,83,13,1.52,MG,1651353222
529,Licheng,23.2955,113.8284,67.82,94,100,7.58,CN,1651353223
530,Berezovyy,51.6667,135.7,31.01,85,100,2.53,RU,1651353224
531,Tomatlán,19.9333,-105.25,90.12,28,99,9.01,MX,1651353224
532,Khasan,42.4308,130.6434,41.43,62,13,11.88,RU,1651353225
533,Taltal,-25.4,-70.4833,63.72,77,24,6.46,CL,1651352929
